Task,table path,table,task ID,type of task,repetation,Condition,Order,C_answer,Participant ID,c_answer_row,c_answer_col,end,text,ans_value,mouse_file
"For the film called ‘Flights Up’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white.",movie.csv_zebra.png,movie.csv,m-2-2,finding maximum horizontal,2,zebra,b-p-c-z,Netflix,5,1,#5,,,68,34
"For the film called ‘Fantastic Four’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",movie.csv_zebra.png,movie.csv,m-3-2,finding maximum horizontal,3,zebra,b-p-c-z,Hulu,5,1,#7,,,65,35
"For the film called ‘Running Night’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",movie.csv_zebra.png,movie.csv,m-4-2,finding maximum horizontal,4,zebra,b-p-c-z,Metacritic,5,1,#4,TRUE,"You have finished one type of task. Please take the survey that experimenter will hand it to you.
You might want to take a short break and wait for experimenter’s response.

",67,36
"For the Candy called ‘Good Bar’, please find its ‘Bar’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-1-3,finding value,1,bar,b-p-c-z,24,5,11,#8,,,24,37
"For the Candy called ‘Lemon Head’, please find its ‘Nougat’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white.",candy.csv_bar.png,candy.csv,ca-2-3,finding value,2,bar,b-p-c-z,17,5,7,#6,,,17,38
"For the Candy called ‘Fruit Chews’ please find its ‘Sugar Percent’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-3-3,finding value,3,bar,b-p-c-z,20,5,17,#10,,,20,39
"For the Candy called ‘Crunch Time' please find its ‘Hard’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white",candy.csv_bar.png,candy.csv,ca-4-3,finding value,4,bar,b-p-c-z,58,5,8,#7,TRUE,"You have finished one condition for the task.
",58,40
"For the cereal called ‘Golden Crisp’, please find its ‘Sugars’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-1-3,finding value,1,plain,b-p-c-z,21,5,11,#8,,,21,41
"For the cereal called ‘Bran Chex’, please find its ‘Fiber’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-2-3,finding value,2,plain,b-p-c-z,40,5,7,#6,,,40,42
"For the cereal called ‘Almond Raisin’ please find its ‘Score’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-3-3,finding value,3,plain,b-p-c-z,13,5,17,#10,,,13,43
"For the cereal called ‘Cinnamon Toast’ please find its ‘Carbo’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-4-3,finding value,4,plain,b-p-c-z,43,5,8,#7,TRUE,"You have finished one condition for the task.
",43,44
"For the Anime called ‘Queen Kingdom’, please find its ‘Watching’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",anime.csv_color.png,anime.csv,a-1-3,finding value,1,color,b-p-c-z,47,5,11,#8,,,47,45
"For the Anime called ‘Kidou Tenshi’, please find its ‘Members’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-2-3,finding value,2,color,b-p-c-z,12,5,7,#6,,,12,46
"For the Anime called ‘Connect Angel’, please find its ‘On-Hold’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-3-3,finding value,3,color,b-p-c-z,50,5,17,#10,,,50,47
"For the Anime called ‘Ultimate horror’, please find its ‘Favorites’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-4-3,finding value,4,color,b-p-c-z,40,5,8,#7,TRUE,"You have finished one condition for the task.
",40,48
"For the film called ‘Welcome Home’, please find its ‘Film Comment’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",movie.csv_zebra.png,movie.csv,m-1-3,finding value,1,zebra,b-p-c-z,34,5,11,#8,,,34,49
"For the film called 'Irrational Man’, please find its ‘IMDB’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white.",movie.csv_zebra.png,movie.csv,m-2-3,finding value,2,zebra,b-p-c-z,63,5,7,#6,,,63,50
"For the film called ‘Saint Laurent’, please find its ‘PluggedIn’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white.",movie.csv_zebra.png,movie.csv,m-3-3,finding value,3,zebra,b-p-c-z,26,5,17,#10,,,26,51
"For the film called ‘My Dreams’, please find its ‘Hulu’ value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",movie.csv_zebra.png,movie.csv,m-4-3,finding value,4,zebra,b-p-c-z,47,5,8,#7,TRUE,"You have finished one type of task. Please take the survey that experimenter will hand it to you.
You might want to take a short break and wait for experimenter’s response.


",47,52
"For the Candys called ‘Now Later’ and ‘Cheese Bears’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white.",candy.csv_bar.png,candy.csv,ca-1-4,finding proportinal difference,1,bar,b-p-c-z,Price,5,1,#12,,,Price,53
"For the Candys called ‘Fruit Chews’ and ‘Life Savers’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Candys aloud once the screen becomes white.",candy.csv_bar.png,candy.csv,ca-2-4,finding proportinal difference,2,bar,b-p-c-z,Rating,5,1,#11,,,Rating,54
"For the Candys called ‘Hersheys Kisses’ and ‘Rolo Chiclets’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-3-4,finding proportinal difference,3,bar,b-p-c-z,Rating,5,1,#11,,,Rating,55
"For the Candys called ‘Crunch Time’ and ‘Gob Stopper’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white.",candy.csv_bar.png,candy.csv,ca-4-4,finding proportinal difference,4,bar,b-p-c-z,SugarPercent,5,1,#10,TRUE,"You have finished one condition for the task.
",SugarPercent,56
"For the cereals called ‘Almond Delight’ and ‘Corn Favorite’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.",cereal.csv_plain.png,cereal.csv,ce-1-4,finding proportinal difference,1,plain,b-p-c-z,Score,5,1,#10,,,Score,57
"For the cereals called ‘Almond Raisin’ and ‘Raisin Bran’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the cereals aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-2-4,finding proportinal difference,2,plain,b-p-c-z,Potassium,5,1,#9,,,Potassium,58
"For the cereals called ‘Wheat Cream’ and ‘Apple Jacks’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.",cereal.csv_plain.png,cereal.csv,ce-3-4,finding proportinal difference,3,plain,b-p-c-z,Iron,5,1,#11,,,Iron,59
"For the cereals called ‘Cinnamon Toast’ and ‘Honey Nut’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.",cereal.csv_plain.png,cereal.csv,ce-4-4,finding proportinal difference,4,plain,b-p-c-z,Vitamins,5,1,#12,TRUE,"You have finished one condition for the task.
",Vitamins,60
"For the Animes called ‘Black Cats’ and ‘Attacking Titan’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Animes aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-1-4,finding proportinal difference,1,color,b-p-c-z,Completed,5,1,#9,,,Completed,61
"For the Animes called ‘Connect Angel’ and ‘Beating Music’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Animes aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-2-4,finding proportinal difference,2,color,b-p-c-z,On-Hold,5,1,#10,,,On-Hold,62
"For the Animes called ‘Legendary Forks’ and ‘Great Teacher’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white. ",anime.csv_color.png,anime.csv,a-3-4,finding proportinal difference,3,color,b-p-c-z,Plan to Watch,5,1,#12,,,Plan to Watch,63
"For the Animes called ‘Ultimate horror’ and ‘Different Life’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-4-4,finding proportinal difference,4,color,b-p-c-z,Dropped,5,1,#11,TRUE,"You have finished one condition for the task.
",Dropped,64
"For the films called ‘Hot Pursuit’ and ‘Mapping Stars’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white. ",movie.csv_zebra.png,movie.csv,m-1-4,finding proportinal difference,1,zebra,b-p-c-z,Roger Ebert,5,1,#9,,,Roger Ebert,65
"For the films called ‘Saint Laurent’ and ‘Next Door’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the films aloud once the screen becomes white.",movie.csv_zebra.png,movie.csv,m-2-4,finding proportinal difference,2,zebra,b-p-c-z,Fandango,5,1,#12,,,Fandango,66
"For the films called ‘Water Diviner’ and ‘Black White’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.",movie.csv_zebra.png,movie.csv,m-3-4,finding proportinal difference,3,zebra,b-p-c-z,PluggedIn,5,1,#10,,,PluggedIn,67
"For the films called ‘My Dreams’ and ‘Tomorrow land’, find in which column in the last four columns of the table  they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white. ",movie.csv_zebra.png,movie.csv,m-4-4,finding proportinal difference,4,zebra,b-p-c-z,Naver,5,1,#11,TRUE,"You have finished the experiment, please ramain on the seat and wait for experimenter's response.",Naver,68
